       t        x        y
     228 2.033837 0.411289
     229 2.013324 -0.453928
     230 1.080339 -1.415824
     231 -0.580859 -1.653627
     232 -1.817998 -0.757044
     233 -2.120980 0.129665
     234 -1.540797 1.059476
     235 -0.057310 1.749062
     236 1.469250 1.124831
     237 2.110653 0.185672
     238 1.865520 -0.693937
     239 0.687946 -1.614808
     240 -0.985730 -1.472077
     241 -1.981639 -0.513553
     242 -2.058869 0.353060
     243 -1.234459 1.312465
     244 0.390959 1.706338
     245 1.726280 0.867631
     246 2.130200 -0.033726
     247 1.654071 -0.946649
     248 0.254052 -1.731561
     249 -1.335915 -1.236105
     250 -2.084189 -0.283247
     251 -1.937835 0.587192
     252 -0.865974 1.535675
     253 0.814381 1.560493
     254 1.917747 0.618414
     255 2.093146 -0.254293
     256 1.376566 -1.203546
     257 -0.196218 -1.739000
     258 -1.621970 -0.979897
     259 -2.128606 -0.061984
     260 -1.754646 0.834787
     261 -0.447601 1.692772
     262 1.190200 1.343670
     263 2.046612 0.382588
     264 1.998245 -0.483114
     265 1.034319 -1.443857
     266 -0.633788 -1.635261
     267 -1.841862 -0.725936
     268 -2.116365 0.157137
     269 -1.506181 1.091623
     270 -0.000998 1.750000
     271 1.504936 1.092761
     272 2.116185 0.158112
     273 1.842690 -0.724837
     274 0.635653 -1.634585
     275 -1.032672 -1.444837
     276 -1.997694 -0.484152
     277 -2.047047 0.381574
     278 -1.191732 1.342611
     279 0.445670 1.693264
     280 1.753693 0.835908
     281 2.128676 -0.061017
     282 1.623087 -0.978758
     283 0.198201 -1.738777
     284 -1.375193 -1.204665
     285 -2.092855 -0.255281
     286 -1.918452 0.617342
     287 -0.816160 1.559662
     288 0.864223 1.536543
     289 1.937165 0.588257
     290 2.084512 -0.282253
     291 1.337324 -1.234996
     292 -0.252077 -1.731847
     293 -1.652991 -0.947785
     294 -2.130161 -0.034693
     295 -1.727269 0.866505
     296 -0.392904 1.705902
     297 1.232962 1.313541
     298 2.058466 0.354067
     299 1.982224 -0.512507
     300 0.987408 -1.471125
     301 -0.686104 -1.615531
     302 -1.864728 -0.695028
     303 -2.110864 0.184694
     304 -1.470532 1.123696
     305 0.055316 1.749126
     306 1.539589 1.060616
     307 2.120831 0.130637
     308 1.818861 -0.755939
     309 0.582744 -1.653001
     310 -1.078724 -1.416830
     311 -2.012805 -0.454959
     312 -2.034305 0.410269
     313 -1.148042 1.372242
     314 0.499935 1.678609
     315 1.780088 0.804342
     316 2.126273 -0.088341
     317 1.591069 -1.010919
     318 0.142147 -1.744227
     319 -1.413455 -1.172982
     320 -2.100623 -0.227448
     321 -1.898095 0.647710
     322 -0.765592 1.582544
     323 0.913276 1.511559
     324 1.955615 0.558317
     325 2.074976 -0.310357
     326 1.297074 -1.266150
     327 -0.307677 -1.722957
     328 -1.682979 -0.915754
     329 -2.130839 -0.007421
     330 -1.698868 0.898363
     331 -0.337811 1.717401
     332 1.274746 1.282961
     333 2.069404 0.325719
     334 1.965253 -0.542113
     335 0.939633 -1.497554
     336 -0.737764 -1.594506
     337 -1.886603 -0.664329
     338 -2.104475 0.212349
     339 -1.433851 1.155653
     340 0.111572 1.746443
     341 1.573206 1.028436
     342 2.124595 0.103232
     343 1.794029 -0.787232
     344 0.529266 -1.669987
     345 -1.123864 -1.388129
     346 -2.026981 -0.425967
     347 -2.020637 0.439154
     348 -1.103408 1.401290
     349 0.553704 1.662427
     350 1.805470 0.772948
     351 2.122989 -0.115713
     352 1.558015 -1.043102
     353 0.085946 -1.747890
     354 -1.450694 -1.141108
     355 -2.107497 -0.199733
     356 -1.876757 0.678293
     357 -0.714306 1.604243
     358 0.961510 1.485619
     359 1.973105 0.528595
     360 2.064533 -0.338617
     361 1.255827 -1.296948
     362 -0.362964 -1.712366
     363 -1.711938 -0.883829
     364 -2.130639 0.019848
     365 -1.669441 0.930339
     366 -0.282375 1.727221
     367 1.315540 1.251993
     368 2.079434 0.297532
     369 1.947326 -0.571934
     370 0.891022 -1.523068
     371 -0.788728 -1.572258
     372 -1.907493 -0.633844
     373 -2.097194 0.240116
     374 -1.396145 1.187447
     375 0.167713 1.741964
     376 1.605788 0.996258
     377 2.127477 0.075884
     378 1.768186 -0.818706
     379 0.475265 -1.685480
     380 -1.168070 -1.358807
     381 -2.040227 -0.397169
     382 -2.006035 0.468237
     383 -1.057849 1.429683
     384 0.606929 1.644782
     385 1.829844 0.741741
     386 2.118824 -0.143148
     387 1.523925 -1.075271
     388 0.029657 -1.749749
     389 -1.486906 -1.109092
     390 -2.113481 -0.172125
     391 -1.854431 0.709088
     392 -0.662342 1.624687
     393 1.008894 1.458799
     394 1.989642 0.499086
     395 2.053178 -0.367042
     396 1.213595 -1.327331
     397 -0.417882 -1.700118
     398 -1.739871 -0.852032
     399 -2.129561 0.047127
     400 -1.638982 0.962410
     401 -0.226650 1.735324
     402 1.355332 1.220697
     403 2.088558 0.269495
     404 1.928436 -0.601973
     405 0.841605 -1.547590
     406 -0.838957 -1.548864
     407 -1.927405 -0.603575
     408 -2.089018 0.268008
     409 -1.357419 1.219026
     410 0.223682 1.735706
     411 1.637335 0.964117
     412 2.129480 0.048577
     413 1.741327 -0.850346
     414 0.420790 -1.699421
     415 -1.211323 -1.328933
     416 -2.052548 -0.368558
     417 -1.990495 0.497524
     418 -1.011389 1.457350
     419 0.659562 1.625737
     420 1.853217 0.710730
     421 2.113774 -0.170660
     422 1.488801 -1.107387
     423 -0.026664 -1.749797
     424 -1.522085 -1.076980
     425 -2.118577 -0.144608
     426 -1.831111 0.740088
     427 -0.609741 1.643804
     428 1.055403 1.431173
     429 2.005233 0.469788
     430 2.040905 -0.395644
     431 1.170393 -1.357232
     432 -0.472381 -1.686261
     433 -1.766784 -0.820384
     434 -2.127605 0.074432
     435 -1.607491 0.994549
     436 -0.170693 1.741676
     437 1.394112 1.189131
     438 2.096782 0.241595
     439 1.908576 -0.632230
     440 0.791416 -1.571043
     441 -0.888415 -1.524397
     442 -1.946347 -0.573525
     443 -2.079941 0.296038
     444 -1.317681 1.250337
     445 0.279420 1.727695
     446 1.667848 0.932041
     447 2.130604 0.021297
     448 1.713448 -0.882135
     449 0.365892 -1.711756
     450 -1.253607 -1.298574
     451 -2.063952 -0.340123
     452 -1.974008 0.527021
     453 -0.964050 1.484215
     454 0.711561 1.605362
     455 1.875595 0.679924
     456 2.107837 -0.198263
     457 1.452645 -1.139409
     458 -0.082956 -1.748034
     459 -1.556229 -1.044813
     460 -2.122790 -0.117169
     461 -1.806791 0.771285
     462 -0.556547 1.661526
     463 1.101010 1.402816
     464 2.019884 0.440695
     465 2.027708 -0.424431
     466 1.126237 -1.386586
     467 -0.526409 -1.670848
     468 -1.792680 -0.788901
     469 -2.124770 0.101777
     470 -1.574964 1.026725
     471 -0.114559 1.746250
     472 1.431873 1.157348
     473 2.104111 0.213822
     474 1.887738 -0.662704
     475 0.740491 -1.593353
     476 -0.937070 -1.498934
     477 -1.964325 -0.543692
     478 -2.069960 0.324217
     479 -1.276939 1.281324
     480 0.334873 1.717965
     481 1.697330 0.900059
     482 2.130851 -0.005971
     483 1.684544 -0.914054
     484 0.310624 -1.722436
     485 -1.294907 -1.267796
     486 -2.074444 -0.311855
     487 -1.956569 0.556732
     488 -0.915860 1.510204
     489 0.762884 1.583727
     490 1.896985 0.649330
