       t        x        y
     228 -0.259070 0.966053
     229 0.674340 0.749826
     230 1.046018 -0.045197
     231 0.592769 -0.811662
     232 -0.358357 -0.934317
     233 -1.003241 -0.274125
     234 -0.850660 0.564778
     235 -0.005050 0.999987
     236 0.844918 0.572351
     237 1.005967 -0.265601
     238 0.367775 -0.930730
     239 -0.584543 -0.817269
     240 -1.045517 -0.053937
     241 -0.681881 0.743490
     242 0.249300 0.968592
     243 0.966366 0.369576
     244 0.910313 -0.476443
     245 0.119267 -0.992871
     246 -0.774580 -0.655309
     247 -1.030809 0.168077
     248 -0.471777 0.884039
     249 0.487523 0.875781
     250 1.033680 0.152714
     251 0.762742 -0.667749
     252 -0.137015 -0.990584
     253 -0.918712 -0.462265
     254 -0.959621 0.384266
     255 -0.231929 0.972857
     256 0.695084 0.732120
     257 1.044413 -0.069414
     258 0.569830 -0.827034
     259 -0.384372 -0.924158
     260 -1.010584 -0.250464
     261 -0.834556 0.585673
     262 0.022943 0.999737
     263 0.860646 0.551267
     264 0.998201 -0.289190
     265 0.341582 -0.940453
     266 -0.607203 -0.801557
     267 -1.046688 -0.029707
     268 -0.660822 0.760904
     269 0.276315 0.961319
     270 0.976389 0.346461
     271 0.896667 -0.498433
     272 0.091430 -0.995814
     273 -0.792649 -0.635548
     274 -1.025768 0.192052
     275 -0.446853 0.896450
     276 0.511853 0.862367
     277 1.037618 0.128633
     278 0.743780 -0.686898
     279 -0.164688 -0.986377
     280 -0.931340 -0.439907
     281 -0.948544 0.407104
     282 -0.204608 0.978919
     283 0.715326 0.713974
     284 1.042132 -0.093604
     285 0.546469 -0.841861
     286 -0.410093 -0.913328
     287 -1.017263 -0.226698
     288 -0.817872 0.606260
     289 0.050917 0.998703
     290 0.875780 0.529902
     291 0.989776 -0.312656
     292 0.315127 -0.949481
     293 -0.629416 -0.785330
     294 -1.047180 -0.005466
     295 -0.639283 0.777848
     296 0.303116 0.953321
     297 0.985763 0.323195
     298 0.882408 -0.520179
     299 0.063520 -0.997981
     300 -0.810160 -0.615438
     301 -1.020057 0.215950
     302 -0.421591 0.908228
     303 0.535800 0.848364
     304 1.040881 0.104501
     305 0.724287 -0.705651
     306 -0.192234 -0.981407
     307 -0.943340 -0.417343
     308 -0.936830 0.429756
     309 -0.177127 0.984230
     310 0.735055 0.695405
     311 1.039173 -0.117756
     312 0.522701 -0.856124
     313 -0.435502 -0.901841
     314 -1.023276 -0.202839
     315 -0.800616 0.626522
     316 0.078851 0.996888
     317 0.890312 0.508270
     318 0.980697 -0.335987
     319 0.288429 -0.957802
     320 -0.651168 -0.768604
     321 -1.046994 0.018777
     322 -0.617276 0.794302
     323 0.329684 0.944611
     324 0.994483 0.299788
     325 0.867545 -0.541666
     326 0.035561 -0.999368
     327 -0.827104 -0.594996
     328 -1.013678 0.239759
     329 -0.396009 0.919356
     330 0.559347 0.833789
     331 1.043468 0.080327
     332 0.704275 -0.723990
     333 -0.219629 -0.975683
     334 -0.954705 -0.394587
     335 -0.924484 0.452209
     336 -0.149509 0.988781
     337 0.754257 0.676432
     338 1.035539 -0.141862
     339 0.498541 -0.869806
     340 -0.460580 -0.889713
     341 -1.028619 -0.178898
     342 -0.782797 0.646442
